==== RUN-LEVEL RESULTS ====
Run,BestFitness,TimeSec,Feasible?,Violations,BestUnfitness
1,8386.0,137.33023,True,0,0.0000
2,7786.0,132.43213,True,0,0.0000
3,7674.0,132.71500,True,0,0.0000
4,7674.0,131.63348,True,0,0.0000
5,7806.0,130.14875,True,0,0.0000
6,7722.0,130.35249,True,0,0.0000
7,8220.0,137.16604,True,0,0.0000
8,9384.0,136.27444,True,0,0.0000
9,9264.0,135.84785,True,0,0.0000
10,7684.0,132.72710,True,0,0.0000
11,9026.0,134.65682,True,0,0.0000
12,7722.0,128.35799,True,0,0.0000
13,7946.0,136.19896,True,0,0.0000
14,7786.0,125.77694,True,0,0.0000
15,8218.0,132.34905,True,0,0.0000
16,7994.0,134.59629,True,0,0.0000
17,7666.0,130.30081,True,0,0.0000
18,8344.0,133.09609,True,0,0.0000
19,7674.0,128.66959,True,0,0.0000
20,7994.0,135.18426,True,0,0.0000
21,7964.0,139.14433,True,0,0.0000
22,8282.0,138.81274,True,0,0.0000
23,8720.0,134.69586,True,0,0.0000
24,8210.0,133.21158,True,0,0.0000
25,8944.0,131.09376,True,0,0.0000
26,8182.0,132.92055,True,0,0.0000
27,7684.0,132.34801,True,0,0.0000
28,7666.0,131.73620,True,0,0.0000
29,8294.0,134.00374,True,0,0.0000
30,8844.0,138.71559,True,0,0.0000

==== SUMMARY METRICS (ALL RUNS) ====
FeasibleRuns,30/30 (100.0%)
MinFitness,7666.0000
MaxFitness,9384.0000
MeanFitness,8158.6667
StDevFitness,502.2821
MedianFitness,7994.0000
AvgViolations,0.0

MinTimeSec,125.7769
MaxTimeSec,139.1443
MeanTimeSec,133.4166
StDevTimeSec,3.1702
MedianTimeSec,133.0083

==== SUMMARY METRICS (FEASIBLE-ONLY) ====
FeasibleCount,30
MinFitnessFeasible,7666.0000
MaxFitnessFeasible,9384.0000
MeanFitnessFeasible,8158.6667
StDevFitnessFeasible,502.2821
MedianFitnessFeasible,7994.0000

MinTimeSecFeasible,125.7769
MaxTimeSecFeasible,139.1443
MeanTimeSecFeasible,133.4166
StDevTimeSecFeasible,3.1702
MedianTimeSecFeasible,133.0083

==== HYPERPARAMETERS ====
PopSize,100
MaxGenerations,300
CrossoverRate,0.85
BaseMutationRate,0.03
PStochasticRank,0.45
AdaptiveMutationThreshold,0.25
AdaptiveMutationCount,2
RandomSeed,
