==== RUN-LEVEL RESULTS ====
Run,BestFitness,TimeSec,Feasible?,Violations
1,8742288.0,29.04968,False,172
2,8492888.0,28.81099,False,167
3,9084530.0,28.57221,False,179
4,9099754.0,28.25601,False,179
5,8686532.0,28.25082,False,171
6,8839844.0,28.23985,False,174
7,9645712.0,28.32250,False,190
8,9149952.0,28.73625,False,180
9,7858858.0,28.49721,False,155
10,8585332.0,28.44236,False,169
11,8472276.0,28.33858,False,167
12,9404138.0,28.66876,False,185
13,8487002.0,28.27657,False,167
14,8687064.0,28.32171,False,171
15,8935932.0,28.41219,False,176
16,9589556.0,29.08061,False,189
17,9297148.0,28.43960,False,183
18,8531028.0,28.50717,False,168
19,9394786.0,28.85424,False,185
20,9667760.0,28.62671,False,190
21,9496336.0,28.64101,False,187
22,9240618.0,28.62228,False,182
23,9138932.0,28.58698,False,180
24,8395906.0,28.57046,False,165
25,9295742.0,30.17147,False,183
26,8927570.0,29.66282,False,176
27,9392286.0,29.26889,False,185
28,8629974.0,29.69815,False,170
29,9042810.0,28.76412,False,178
30,9001418.0,29.07945,False,177

==== SUMMARY METRICS (ALL RUNS) ====
FeasibleRuns,0/30 (0.0%)
MinFitness,7858858.0000
MaxFitness,9667760.0000
MeanFitness,8973799.0667
StDevFitness,428018.4495
MedianFitness,9022114.0000
AvgViolations,176.7

MinTimeSec,28.2399
MaxTimeSec,30.1715
MeanTimeSec,28.7257
StDevTimeSec,0.4622
MedianTimeSec,28.6046

==== SUMMARY METRICS (FEASIBLE-ONLY) ====
FeasibleSolutionsFound,0

==== HYPERPARAMETERS ====
PopSize,300
CrossoverRate,0.9
MutationRate,0.005
MaxGenerations,1000
PenaltyFactor,50000.0
TournamentK,5
RandomSeed,
