==== RUN-LEVEL RESULTS ====
Run,BestFitness,TimeSec,Feasible?,Violations,BestUnfitness
1,38021.0,0.77711,False,2,N/A
2,29097.0,0.81720,True,0,N/A
3,35569.0,0.79669,False,1,N/A
4,62575.0,0.77105,False,4,N/A
5,42515.0,0.79012,False,2,N/A
6,28737.0,0.78252,True,0,N/A
7,26100.0,0.80262,True,0,N/A
8,36112.0,0.79481,False,1,N/A
9,40105.0,0.79907,False,1,N/A
10,24669.0,0.78633,True,0,N/A
11,19623.0,0.77635,True,0,N/A
12,25614.0,0.84919,True,0,N/A
13,25473.0,0.78863,True,0,N/A
14,38530.0,0.80144,False,1,N/A
15,36832.0,0.80547,False,1,N/A
16,48806.0,0.81049,False,2,N/A
17,45773.0,0.85784,False,2,N/A
18,23592.0,0.81059,True,0,N/A
19,27063.0,0.80471,True,0,N/A
20,47243.0,0.81342,False,2,N/A
21,22314.0,0.99312,True,0,N/A
22,27420.0,0.81080,True,0,N/A
23,50561.0,0.79496,False,2,N/A
24,22104.0,0.81256,True,0,N/A
25,47060.0,0.80611,False,2,N/A
26,36454.0,0.79317,False,1,N/A
27,19764.0,0.78517,True,0,N/A
28,41443.0,0.79624,False,1,N/A
29,26721.0,0.82989,True,0,N/A
30,30646.0,0.80400,False,1,N/A

==== SUMMARY METRICS ====
BestFitness,19623.0000
WorstFitness,62575.0000
MeanFitness,34217.8667
StDevFitness,10506.5563
MedianFitness,33107.5000

Feasibility,46.7%
AverageViolations,0.9

MinTimeSec,0.7711
MaxTimeSec,0.9931
MeanTimeSec,0.8087
StDevTimeSec,0.0390
MedianTimeSec,0.8020

==== HYPERPARAMETERS ====
Temp,1000.0
Alpha,0.95
MaxIter,100000
PenaltyFactor,10000.0
RandomSeed,
