==== RUN-LEVEL RESULTS ====
Run,BestFitness,TimeSec,Feasible?,Violations,BestUnfitness
1,50022.0,4.98175,False,3,N/A
2,46048.0,4.54727,False,3,N/A
3,26870.0,4.49161,False,1,N/A
4,27128.0,4.48543,False,1,N/A
5,16776.0,4.73327,True,0,N/A
6,28756.0,4.82848,False,1,N/A
7,17408.0,4.56459,True,0,N/A
8,47530.0,4.64138,False,3,N/A
9,34272.0,4.67445,False,2,N/A
10,27692.0,4.53954,False,1,N/A
11,47052.0,4.57943,False,3,N/A
12,15566.0,4.56922,True,0,N/A
13,34922.0,4.47968,False,2,N/A
14,59102.0,4.51867,False,4,N/A
15,38094.0,4.41690,False,2,N/A
16,47366.0,4.45525,False,3,N/A
17,25794.0,4.44091,False,1,N/A
18,35812.0,4.48774,False,2,N/A
19,26892.0,4.49503,False,1,N/A
20,46180.0,4.46242,False,3,N/A
21,27066.0,4.47119,False,1,N/A
22,45992.0,4.64981,False,3,N/A
23,27548.0,4.56877,False,1,N/A
24,42150.0,4.57874,False,2,N/A
25,58766.0,4.74353,False,4,N/A
26,45258.0,4.54079,False,3,N/A
27,16120.0,4.63866,True,0,N/A
28,16396.0,4.52807,True,0,N/A
29,46020.0,4.63205,False,3,N/A
30,22866.0,4.66216,False,1,N/A

==== SUMMARY METRICS ====
BestFitness,15566.0000
WorstFitness,59102.0000
MeanFitness,34915.4667
StDevFitness,12703.3826
MedianFitness,34597.0000

Feasibility,16.7%
AverageViolations,1.8

MinTimeSec,4.4169
MaxTimeSec,4.9818
MeanTimeSec,4.5802
StDevTimeSec,0.1218
MedianTimeSec,4.5559

==== HYPERPARAMETERS ====
Temp,1000.0
Alpha,0.95
MaxIter,100000
PenaltyFactor,10000.0
RandomSeed,
