Run,BestFitness,TimeSec,Feasible?,Violations,BestUnfit(if any)
1,2367216.0,1.5096678733825684,False,1569,
2,2450108.0,1.5847959518432617,False,1614,
3,2395326.0,1.518860101699829,False,1590,
4,2419686.0,1.5416169166564941,False,1646,
5,2370774.0,1.6069002151489258,False,1565,
6,2353440.0,1.5652523040771484,False,1562,
7,2369514.0,1.5074889659881592,False,1567,
8,2353490.0,1.4906632900238037,False,1556,
9,2380034.0,1.5035152435302734,False,1584,
10,2333106.0,1.5071280002593994,False,1525,
11,2411732.0,1.519333839416504,False,1595,
12,2250276.0,1.504242181777954,False,1503,
13,2343028.0,1.500044822692871,False,1559,
14,2320286.0,1.5137310028076172,False,1516,
15,2449444.0,1.5073540210723877,False,1626,
16,2400154.0,1.5895590782165527,False,1600,
17,2309006.0,1.5287728309631348,False,1526,
18,2387382.0,1.5528230667114258,False,1586,
19,2402384.0,1.518860101699829,False,1595,
20,2495202.0,1.528184175491333,False,1654,
21,2377884.0,1.492035150527954,False,1583,
22,2339434.0,1.4906339645385742,False,1543,
23,2266766.0,1.4973781108856201,False,1514,
24,2463832.0,1.5183050632476807,False,1641,
25,2448896.0,1.4973368644714355,False,1617,
26,2461158.0,1.5146968364715576,False,1612,
27,2430744.0,1.5181639194488525,False,1611,
28,2354658.0,1.5002448558807373,False,1541,
29,2323610.0,1.489027976989746,False,1546,
30,2380408.0,1.5038158893585205,False,1586,

Summary Stats,
BestFitness,2250276.0
WorstFitness,2495202.0
MeanFitness,2380299.2666666666
StDevFitness,56798.5073242442
MedianFitness,2378959.0

Feasibility(%),0.0

MinTimeSec,1.489027976989746
MaxTimeSec,1.6069002151489258
MeanTimeSec,1.520681087176005
StDevTimeSec,0.030020436746229052
MedianTimeSec,1.5116994380950928
