Run,BestFitness,TimeSec,Feasible?,Violations,BestUnfit(if any)
1,4016408.0,0.061675071716308594,False,1472,
2,3928650.0,0.06199789047241211,False,1451,
3,3902664.0,0.05914902687072754,False,1437,
4,4294894.0,0.060588836669921875,False,1603,
5,3972230.0,0.058728933334350586,False,1458,
6,3827844.0,0.059198856353759766,False,1412,
7,3969430.0,0.06216597557067871,False,1465,
8,3897656.0,0.06977510452270508,False,1453,
9,4214600.0,0.06992888450622559,False,1562,
10,4228104.0,0.061975955963134766,False,1564,
11,3802626.0,0.05830192565917969,False,1413,
12,4065478.0,0.06694865226745605,False,1495,
13,3790838.0,0.05836296081542969,False,1411,
14,3899054.0,0.05893301963806152,False,1444,
15,4333498.0,0.06007695198059082,False,1590,
16,4084232.0,0.05900096893310547,False,1506,
17,4071598.0,0.05960893630981445,False,1507,
18,4000388.0,0.059973716735839844,False,1475,
19,4098844.0,0.06881093978881836,False,1516,
20,4210412.0,0.07437396049499512,False,1562,
21,3953212.0,0.13999605178833008,False,1452,
22,4278374.0,0.07937908172607422,False,1590,
23,3936206.0,0.06049203872680664,False,1454,
24,4000576.0,0.06224203109741211,False,1485,
25,4176444.0,0.06425094604492188,False,1544,
26,3998912.0,0.06295394897460938,False,1480,
27,4320952.0,0.10779595375061035,False,1612,
28,4429022.0,0.07882428169250488,False,1647,
29,4051434.0,0.06009387969970703,False,1487,
30,3953498.0,0.05852913856506348,False,1452,

Summary Stats,
BestFitness,3790838.0
WorstFitness,4429022.0
MeanFitness,4056935.933333333
StDevFitness,165919.59115626526
MedianFitness,4008492.0

Feasibility(%),0.0

MinTimeSec,0.05830192565917969
MaxTimeSec,0.13999605178833008
MeanTimeSec,0.06747113068898519
StDevTimeSec,0.016660003084607123
MedianTimeSec,0.06182551383972168
