==== RUN-LEVEL RESULTS ====
Run,BestFitness,TimeSec,Feasible?,Violations,BestUnfitness
1,65670.0,4.79395,False,5,N/A
2,58098.0,5.18118,False,4,N/A
3,51878.0,4.62737,False,4,N/A
4,42230.0,5.00933,False,2,N/A
5,22952.0,4.78917,False,1,N/A
6,39604.0,4.79727,False,2,N/A
7,36238.0,4.60008,False,2,N/A
8,22110.0,4.56317,False,1,N/A
9,29882.0,4.57099,False,1,N/A
10,35264.0,4.71240,False,2,N/A
11,58286.0,4.56720,False,4,N/A
12,41944.0,4.59121,False,2,N/A
13,38154.0,4.63542,False,2,N/A
14,42372.0,4.54461,False,3,N/A
15,75462.0,4.58628,False,6,N/A
16,54604.0,4.54771,False,4,N/A
17,26282.0,4.61452,False,1,N/A
18,43044.0,4.86572,False,3,N/A
19,55542.0,4.68514,False,4,N/A
20,46532.0,4.54005,False,3,N/A
21,56516.0,4.66027,False,4,N/A
22,34256.0,4.63822,False,2,N/A
23,65602.0,4.55940,False,5,N/A
24,65864.0,4.56571,False,5,N/A
25,65414.0,4.61876,False,5,N/A
26,43422.0,4.60287,False,3,N/A
27,55738.0,4.66932,False,4,N/A
28,56968.0,5.08284,False,4,N/A
29,46054.0,4.79109,False,3,N/A
30,65314.0,5.17137,False,5,N/A

==== SUMMARY METRICS ====
BestFitness,22110.0000
WorstFitness,75462.0000
MeanFitness,48043.2000
StDevFitness,13834.8048
MedianFitness,46293.0000

Feasibility,0.0%
AverageViolations,3.2

MinTimeSec,4.5400
MaxTimeSec,5.1812
MeanTimeSec,4.7061
StDevTimeSec,0.1821
MedianTimeSec,4.6314

==== HYPERPARAMETERS ====
Temp,1000.0
Alpha,0.95
MaxIter,100000
PenaltyFactor,10000.0
RandomSeed,
