==== RUN-LEVEL RESULTS ====
Run,BestFitness,TimeSec,Feasible?,Violations,BestUnfitness
1,29406.0,4.94765,False,1,N/A
2,27630.0,4.91938,False,1,N/A
3,30230.0,4.63600,False,1,N/A
4,19216.0,4.41671,True,0,N/A
5,26118.0,4.38596,False,1,N/A
6,27654.0,4.42505,False,1,N/A
7,25224.0,4.37157,False,1,N/A
8,36758.0,4.38548,False,2,N/A
9,33778.0,4.40876,False,2,N/A
10,35208.0,4.37875,False,2,N/A
11,19630.0,4.40252,True,0,N/A
12,25784.0,4.41719,False,1,N/A
13,33558.0,4.36778,False,2,N/A
14,35252.0,4.40269,False,2,N/A
15,35214.0,4.37735,False,2,N/A
16,35590.0,4.39586,False,2,N/A
17,18012.0,4.40216,True,0,N/A
18,27952.0,4.38955,False,1,N/A
19,36922.0,4.41323,False,2,N/A
20,15268.0,4.41707,True,0,N/A
21,26064.0,4.38803,False,1,N/A
22,43980.0,4.41664,False,3,N/A
23,14540.0,4.49851,True,0,N/A
24,35526.0,4.41353,False,2,N/A
25,35272.0,4.40598,False,2,N/A
26,44554.0,4.42509,False,3,N/A
27,47478.0,4.41994,False,3,N/A
28,48438.0,4.38428,False,3,N/A
29,25324.0,4.41980,False,1,N/A
30,29486.0,4.39710,False,1,N/A

==== SUMMARY METRICS ====
BestFitness,14540.0000
WorstFitness,48438.0000
MeanFitness,30835.5333
StDevFitness,8672.4249
MedianFitness,29858.0000

Feasibility,16.7%
AverageViolations,1.4

MinTimeSec,4.3678
MaxTimeSec,4.9476
MeanTimeSec,4.4477
StDevTimeSec,0.1384
MedianTimeSec,4.4074

==== HYPERPARAMETERS ====
Temp,1000.0
Alpha,0.95
MaxIter,100000
PenaltyFactor,10000.0
RandomSeed,
